,pub_time
161405,2020-10-13 00:05:53
165946,2020-10-13 00:06:00
174971,2020-10-13 00:06:00
173411,2020-10-13 00:06:00
166116,2020-10-13 00:06:00
83079,2020-10-13 00:06:00
147288,2020-10-13 00:06:00
175541,2020-10-13 00:06:08
174009,2020-10-13 00:06:18
114668,2020-10-13 00:06:34
91734,2020-10-13 00:06:40
168413,2020-10-13 00:06:44
156474,2020-10-13 00:06:55
193334,2020-10-13 00:07:00
114292,2020-10-13 00:07:00
147782,2020-10-13 00:07:00
161479,2020-10-13 00:07:00
162446,2020-10-13 00:07:00
172551,2020-10-13 00:07:18
159764,2020-10-13 00:07:19
137700,2020-10-13 00:07:25
172163,2020-10-13 00:07:56
194445,2020-10-13 00:08:00
78530,2020-10-13 00:08:00
157948,2020-10-13 00:08:00
157460,2020-10-13 00:08:00
173963,2020-10-13 00:08:00
180625,2020-10-13 00:08:00
73160,2020-10-13 00:08:21
162159,2020-10-13 00:08:21
175401,2020-10-13 00:08:52
94981,2020-10-13 00:08:53
161456,2020-10-13 00:08:54
179855,2020-10-13 00:09:00
160841,2020-10-13 00:09:00
82139,2020-10-13 00:09:00
165662,2020-10-13 00:09:00
166159,2020-10-13 00:09:09
154080,2020-10-13 00:09:09
114800,2020-10-13 00:09:12
168505,2020-10-13 00:09:15
170839,2020-10-13 00:09:24
180577,2020-10-13 00:09:32
147979,2020-10-13 00:09:50
147134,2020-10-13 00:10:00
168609,2020-10-13 00:10:00
161473,2020-10-13 00:10:00
191678,2020-10-13 00:10:03
162887,2020-10-13 00:10:05
114316,2020-10-13 00:10:07
187906,2020-10-13 00:10:08
80642,2020-10-13 00:10:09
180468,2020-10-13 00:10:18
172111,2020-10-13 00:10:23
175330,2020-10-13 00:10:25
166834,2020-10-13 00:10:25
147008,2020-10-13 00:10:33
75156,2020-10-13 00:10:58
152640,2020-10-13 00:11:00
154239,2020-10-13 00:11:00
94476,2020-10-13 00:11:00
159317,2020-10-13 00:11:00
124979,2020-10-13 00:11:11
189507,2020-10-13 00:11:11
77333,2020-10-13 00:11:15
167873,2020-10-13 00:11:15
172380,2020-10-13 00:11:16
171010,2020-10-13 00:11:28
172128,2020-10-13 00:11:37
172259,2020-10-13 00:11:41
180345,2020-10-13 00:11:41
185735,2020-10-13 00:11:41
148079,2020-10-13 00:11:46
113638,2020-10-13 00:11:50
78718,2020-10-13 00:11:54
94861,2020-10-13 00:12:00
73514,2020-10-13 00:12:00
172793,2020-10-13 00:12:00
93526,2020-10-13 00:12:00
166168,2020-10-13 00:12:04
175704,2020-10-13 00:12:50
166077,2020-10-13 00:12:55
76425,2020-10-13 00:12:57
166213,2020-10-13 00:13:00
161192,2020-10-13 00:13:00
160970,2020-10-13 00:13:00
161272,2020-10-13 00:13:00
148291,2020-10-13 00:13:01
152820,2020-10-13 00:13:04
95373,2020-10-13 00:13:48
147270,2020-10-13 00:13:49
154427,2020-10-13 00:14:00
82785,2020-10-13 00:14:00
161256,2020-10-13 00:14:00
193082,2020-10-13 00:14:00
189720,2020-10-13 00:14:20
171870,2020-10-13 00:14:27
166201,2020-10-13 00:14:31
95235,2020-10-13 00:14:42
172397,2020-10-13 00:15:00
164815,2020-10-13 00:15:00
171309,2020-10-13 00:15:00
172394,2020-10-13 00:15:00
180509,2020-10-13 00:15:00
175232,2020-10-13 00:15:00
166000,2020-10-13 00:15:00
161612,2020-10-13 00:15:26
92803,2020-10-13 00:15:58
113878,2020-10-13 00:16:00
152583,2020-10-13 00:16:00
182649,2020-10-13 00:16:00
168285,2020-10-13 00:16:00
147599,2020-10-13 00:16:00
129045,2020-10-13 00:16:15
175165,2020-10-13 00:16:17
76340,2020-10-13 00:16:24
83219,2020-10-13 00:16:35
189969,2020-10-13 00:16:51
113051,2020-10-13 00:16:57
93793,2020-10-13 00:17:00
193930,2020-10-13 00:17:00
152509,2020-10-13 00:17:00
176496,2020-10-13 00:17:00
113628,2020-10-13 00:17:00
149978,2020-10-13 00:17:00
94621,2020-10-13 00:17:31
73534,2020-10-13 00:17:34
132861,2020-10-13 00:17:39
129308,2020-10-13 00:17:40
147678,2020-10-13 00:17:40
129012,2020-10-13 00:17:48
161511,2020-10-13 00:17:49
146833,2020-10-13 00:18:00
193314,2020-10-13 00:18:00
162090,2020-10-13 00:18:00
160825,2020-10-13 00:18:18
159862,2020-10-13 00:18:19
183643,2020-10-13 00:18:42
189607,2020-10-13 00:18:47
80956,2020-10-13 00:18:48
82575,2020-10-13 00:18:52
147934,2020-10-13 00:18:55
161142,2020-10-13 00:19:00
161735,2020-10-13 00:19:00
148359,2020-10-13 00:19:00
175179,2020-10-13 00:19:00
172732,2020-10-13 00:19:00
165835,2020-10-13 00:19:00
161215,2020-10-13 00:19:00
77983,2020-10-13 00:19:00
76427,2020-10-13 00:19:05
161406,2020-10-13 00:19:14
94086,2020-10-13 00:19:16
195180,2020-10-13 00:19:16
160814,2020-10-13 00:19:20
163810,2020-10-13 00:19:28
162745,2020-10-13 00:19:47
156118,2020-10-13 00:19:51
132491,2020-10-13 00:19:53
136322,2020-10-13 00:19:55
187835,2020-10-13 00:20:00
164242,2020-10-13 00:20:00
164753,2020-10-13 00:20:00
165636,2020-10-13 00:20:00
162769,2020-10-13 00:20:02
166024,2020-10-13 00:20:17
190777,2020-10-13 00:20:29
160265,2020-10-13 00:20:37
154434,2020-10-13 00:20:49
161467,2020-10-13 00:20:53
78269,2020-10-13 00:21:07
147233,2020-10-13 00:21:44
180899,2020-10-13 00:21:45
169171,2020-10-13 00:21:56
175547,2020-10-13 00:21:57
178224,2020-10-13 00:22:00
147749,2020-10-13 00:22:00
158722,2020-10-13 00:22:00
166009,2020-10-13 00:22:00
72004,2020-10-13 00:22:00
80731,2020-10-13 00:22:00
164935,2020-10-13 00:22:00
159122,2020-10-13 00:22:04
187879,2020-10-13 00:22:13
154212,2020-10-13 00:22:16
197085,2020-10-13 00:22:19
178606,2020-10-13 00:22:22
162166,2020-10-13 00:22:30
145336,2020-10-13 00:23:00
78616,2020-10-13 00:23:00
156836,2020-10-13 00:23:00
160209,2020-10-13 00:23:00
172072,2020-10-13 00:23:00
193573,2020-10-13 00:23:06
111936,2020-10-13 00:23:36
76203,2020-10-13 00:23:38
196445,2020-10-13 00:23:43
142463,2020-10-13 00:23:44
174101,2020-10-13 00:23:45
157947,2020-10-13 00:24:00
189979,2020-10-13 00:24:00
78500,2020-10-13 00:24:00
74540,2020-10-13 00:24:00
153761,2020-10-13 00:24:00
173165,2020-10-13 00:24:04
146900,2020-10-13 00:24:13
73309,2020-10-13 00:24:21
158265,2020-10-13 00:24:31
187343,2020-10-13 00:24:59
74183,2020-10-13 00:25:00
179140,2020-10-13 00:25:00
176704,2020-10-13 00:25:00
198126,2020-10-13 00:25:00
161661,2020-10-13 00:25:00
182089,2020-10-13 00:25:00
147594,2020-10-13 00:25:02
75901,2020-10-13 00:25:06
165651,2020-10-13 00:25:21
193028,2020-10-13 00:25:32
166491,2020-10-13 00:25:55
140208,2020-10-13 00:25:58
147200,2020-10-13 00:26:00
190049,2020-10-13 00:26:00
160980,2020-10-13 00:26:11
147705,2020-10-13 00:26:11
173225,2020-10-13 00:26:11
192044,2020-10-13 00:26:12
172063,2020-10-13 00:26:14
171197,2020-10-13 00:26:31
78550,2020-10-13 00:26:42
139738,2020-10-13 00:27:00
187548,2020-10-13 00:27:00
152439,2020-10-13 00:27:00
172164,2020-10-13 00:27:00
151236,2020-10-13 00:27:00
192740,2020-10-13 00:27:00
114436,2020-10-13 00:27:00
177691,2020-10-13 00:27:04
128992,2020-10-13 00:27:31
171842,2020-10-13 00:27:35
188800,2020-10-13 00:27:38
160290,2020-10-13 00:28:00
190443,2020-10-13 00:28:00
152667,2020-10-13 00:28:00
181739,2020-10-13 00:28:00
82254,2020-10-13 00:28:02
92231,2020-10-13 00:28:23
177568,2020-10-13 00:28:28
180234,2020-10-13 00:28:38
161575,2020-10-13 00:29:00
162347,2020-10-13 00:29:00
76507,2020-10-13 00:29:03
163811,2020-10-13 00:29:04
79892,2020-10-13 00:29:10
179627,2020-10-13 00:29:15
162229,2020-10-13 00:29:16
78081,2020-10-13 00:29:39
95160,2020-10-13 00:29:56
83072,2020-10-13 00:30:00
196173,2020-10-13 00:30:00
168500,2020-10-13 00:30:00
91947,2020-10-13 00:30:00
176620,2020-10-13 00:30:00
76500,2020-10-13 00:30:00
149600,2020-10-13 00:30:00
195917,2020-10-13 00:30:00
91903,2020-10-13 00:30:00
154502,2020-10-13 00:30:00
92004,2020-10-13 00:30:00
78531,2020-10-13 00:30:00
149207,2020-10-13 00:30:00
91733,2020-10-13 00:30:01
161531,2020-10-13 00:30:03
185711,2020-10-13 00:30:04
111727,2020-10-13 00:30:11
169550,2020-10-13 00:30:12
137771,2020-10-13 00:30:16
161533,2020-10-13 00:30:18
164399,2020-10-13 00:30:36
172479,2020-10-13 00:30:47
177690,2020-10-13 00:30:49
177699,2020-10-13 00:30:52
161369,2020-10-13 00:30:54
197144,2020-10-13 00:30:55
195872,2020-10-13 00:31:00
189627,2020-10-13 00:31:00
196678,2020-10-13 00:31:00
169000,2020-10-13 00:31:00
162021,2020-10-13 00:31:00
94093,2020-10-13 00:31:00
168871,2020-10-13 00:31:06
187477,2020-10-13 00:31:16
194120,2020-10-13 00:31:23
169134,2020-10-13 00:31:25
181851,2020-10-13 00:31:26
153157,2020-10-13 00:31:36
93934,2020-10-13 00:31:59
83120,2020-10-13 00:32:00
181298,2020-10-13 00:32:00
180400,2020-10-13 00:32:00
91586,2020-10-13 00:32:00
162457,2020-10-13 00:32:00
177741,2020-10-13 00:32:00
95026,2020-10-13 00:32:15
93565,2020-10-13 00:32:21
73211,2020-10-13 00:32:27
115035,2020-10-13 00:32:30
174721,2020-10-13 00:32:37
154458,2020-10-13 00:32:42
168578,2020-10-13 00:32:53
174229,2020-10-13 00:32:55
112930,2020-10-13 00:33:00
182549,2020-10-13 00:33:00
168385,2020-10-13 00:33:00
154069,2020-10-13 00:33:00
154072,2020-10-13 00:33:00
161099,2020-10-13 00:33:00
152684,2020-10-13 00:33:04
132970,2020-10-13 00:33:05
92852,2020-10-13 00:33:32
159461,2020-10-13 00:33:41
183373,2020-10-13 00:33:45
79785,2020-10-13 00:33:45
168480,2020-10-13 00:33:45
183359,2020-10-13 00:33:53
191223,2020-10-13 00:34:00
154729,2020-10-13 00:34:00
74734,2020-10-13 00:34:00
162009,2020-10-13 00:34:02
95281,2020-10-13 00:34:06
159386,2020-10-13 00:34:06
95087,2020-10-13 00:34:23
82670,2020-10-13 00:34:27
165752,2020-10-13 00:34:42
152704,2020-10-13 00:34:53
164767,2020-10-13 00:35:00
77912,2020-10-13 00:35:00
152754,2020-10-13 00:35:00
174499,2020-10-13 00:35:00
155185,2020-10-13 00:35:00
182215,2020-10-13 00:35:00
164876,2020-10-13 00:35:28
187240,2020-10-13 00:35:33
82539,2020-10-13 00:36:00
176388,2020-10-13 00:36:00
195054,2020-10-13 00:36:10
152675,2020-10-13 00:36:30
166655,2020-10-13 00:36:40
189897,2020-10-13 00:36:45
175709,2020-10-13 00:36:45
146892,2020-10-13 00:36:46
172677,2020-10-13 00:36:51
161314,2020-10-13 00:37:00
140562,2020-10-13 00:37:27
147206,2020-10-13 00:37:33
175354,2020-10-13 00:37:46
76391,2020-10-13 00:37:49
161345,2020-10-13 00:38:00
192941,2020-10-13 00:38:00
161338,2020-10-13 00:38:00
159707,2020-10-13 00:38:00
93941,2020-10-13 00:38:00
187053,2020-10-13 00:38:00
148164,2020-10-13 00:38:00
161400,2020-10-13 00:38:10
162681,2020-10-13 00:38:13
115950,2020-10-13 00:38:33
78569,2020-10-13 00:38:51
138295,2020-10-13 00:39:00
147065,2020-10-13 00:39:11
82729,2020-10-13 00:39:52
166079,2020-10-13 00:40:00
73538,2020-10-13 00:40:00
92038,2020-10-13 00:40:00
192981,2020-10-13 00:40:00
162918,2020-10-13 00:40:00
160821,2020-10-13 00:40:00
160757,2020-10-13 00:40:02
162808,2020-10-13 00:40:03
82510,2020-10-13 00:40:17
162685,2020-10-13 00:40:31
93561,2020-10-13 00:40:35
159536,2020-10-13 00:40:40
164377,2020-10-13 00:40:52
78912,2020-10-13 00:41:00
81858,2020-10-13 00:41:00
180940,2020-10-13 00:41:00
179846,2020-10-13 00:41:00
165784,2020-10-13 00:41:00
162716,2020-10-13 00:41:00
158986,2020-10-13 00:41:13
188901,2020-10-13 00:41:33
183698,2020-10-13 00:41:41
161297,2020-10-13 00:41:44
187332,2020-10-13 00:41:48
194738,2020-10-13 00:41:50
162653,2020-10-13 00:41:57
149936,2020-10-13 00:42:00
123221,2020-10-13 00:42:00
160640,2020-10-13 00:42:00
76349,2020-10-13 00:42:00
114244,2020-10-13 00:42:00
192812,2020-10-13 00:42:20
147578,2020-10-13 00:42:34
169236,2020-10-13 00:42:47
192602,2020-10-13 00:42:53
179330,2020-10-13 00:42:55
164192,2020-10-13 00:43:00
183335,2020-10-13 00:43:17
81982,2020-10-13 00:43:26
95440,2020-10-13 00:43:26
181610,2020-10-13 00:43:29
146991,2020-10-13 00:43:58
148832,2020-10-13 00:44:00
174468,2020-10-13 00:44:00
172154,2020-10-13 00:44:02
156448,2020-10-13 00:44:09
177570,2020-10-13 00:44:11
80544,2020-10-13 00:44:16
162345,2020-10-13 00:44:30
154084,2020-10-13 00:44:37
191685,2020-10-13 00:44:45
147710,2020-10-13 00:45:00
154076,2020-10-13 00:45:00
162672,2020-10-13 00:45:00
155190,2020-10-13 00:45:00
164716,2020-10-13 00:45:00
164331,2020-10-13 00:45:15
180432,2020-10-13 00:45:30
147188,2020-10-13 00:45:38
175619,2020-10-13 00:45:49
155139,2020-10-13 00:46:00
78859,2020-10-13 00:46:00
160808,2020-10-13 00:46:00
115013,2020-10-13 00:46:01
164407,2020-10-13 00:46:08
185688,2020-10-13 00:46:09
172080,2020-10-13 00:46:09
191899,2020-10-13 00:46:21
112722,2020-10-13 00:46:32
94113,2020-10-13 00:46:33
132004,2020-10-13 00:46:39
76381,2020-10-13 00:46:49
91226,2020-10-13 00:47:00
131152,2020-10-13 00:47:00
152822,2020-10-13 00:47:00
76050,2020-10-13 00:47:00
164528,2020-10-13 00:47:00
161385,2020-10-13 00:47:00
175229,2020-10-13 00:47:00
179482,2020-10-13 00:47:34
161318,2020-10-13 00:47:39
183842,2020-10-13 00:47:39
161450,2020-10-13 00:47:40
129036,2020-10-13 00:47:46
152472,2020-10-13 00:47:48
78862,2020-10-13 00:47:58
147758,2020-10-13 00:48:00
161728,2020-10-13 00:48:00
113067,2020-10-13 00:48:00
94619,2020-10-13 00:48:00
167301,2020-10-13 00:48:00
161265,2020-10-13 00:48:13
175180,2020-10-13 00:48:14
187859,2020-10-13 00:48:14
175816,2020-10-13 00:48:23
111641,2020-10-13 00:48:26
160212,2020-10-13 00:48:27
82736,2020-10-13 00:48:31
172520,2020-10-13 00:48:33
149933,2020-10-13 00:48:34
172518,2020-10-13 00:48:37
92256,2020-10-13 00:48:56
172493,2020-10-13 00:49:00
154345,2020-10-13 00:49:00
157830,2020-10-13 00:49:00
148739,2020-10-13 00:49:00
156354,2020-10-13 00:49:00
82517,2020-10-13 00:49:02
159460,2020-10-13 00:49:03
165798,2020-10-13 00:49:07
159166,2020-10-13 00:49:11
111773,2020-10-13 00:49:25
113851,2020-10-13 00:49:25
172013,2020-10-13 00:49:34
193382,2020-10-13 00:49:37
94128,2020-10-13 00:49:52
160278,2020-10-13 00:50:00
79876,2020-10-13 00:50:00
164370,2020-10-13 00:50:00
162683,2020-10-13 00:50:00
162837,2020-10-13 00:50:00
181526,2020-10-13 00:50:00
166188,2020-10-13 00:50:00
161354,2020-10-13 00:50:00
137606,2020-10-13 00:50:08
73519,2020-10-13 00:50:10
90903,2020-10-13 00:50:17
185168,2020-10-13 00:50:26
149096,2020-10-13 00:50:28
92908,2020-10-13 00:50:44
174336,2020-10-13 00:51:00
166218,2020-10-13 00:51:00
111728,2020-10-13 00:51:19
147719,2020-10-13 00:51:23
174096,2020-10-13 00:51:25
192309,2020-10-13 00:52:00
173924,2020-10-13 00:52:00
171819,2020-10-13 00:52:00
191651,2020-10-13 00:52:04
166015,2020-10-13 00:52:24
128819,2020-10-13 00:52:25
164245,2020-10-13 00:52:43
175443,2020-10-13 00:52:55
154344,2020-10-13 00:52:56
180085,2020-10-13 00:52:57
189792,2020-10-13 00:52:59
82242,2020-10-13 00:53:00
182014,2020-10-13 00:53:00
152470,2020-10-13 00:53:00
180316,2020-10-13 00:53:00
157090,2020-10-13 00:53:00
172224,2020-10-13 00:53:03
161664,2020-10-13 00:53:03
92904,2020-10-13 00:53:04
163709,2020-10-13 00:53:16
162859,2020-10-13 00:53:18
172395,2020-10-13 00:53:24
166166,2020-10-13 00:53:24
113024,2020-10-13 00:53:28
129038,2020-10-13 00:53:41
180557,2020-10-13 00:54:00
169062,2020-10-13 00:54:00
169457,2020-10-13 00:54:00
173128,2020-10-13 00:54:00
155054,2020-10-13 00:54:00
153067,2020-10-13 00:54:04
172555,2020-10-13 00:54:17
147721,2020-10-13 00:54:36
149764,2020-10-13 00:54:42
166162,2020-10-13 00:54:44
94103,2020-10-13 00:54:47
92297,2020-10-13 00:54:59
156834,2020-10-13 00:55:00
157456,2020-10-13 00:55:00
162286,2020-10-13 00:55:00
147846,2020-10-13 00:55:00
171900,2020-10-13 00:55:00
78741,2020-10-13 00:55:02
180651,2020-10-13 00:55:11
166455,2020-10-13 00:55:13
171191,2020-10-13 00:55:14
166391,2020-10-13 00:55:15
162456,2020-10-13 00:55:31
82475,2020-10-13 00:55:35
158296,2020-10-13 00:55:38
193322,2020-10-13 00:56:00
152664,2020-10-13 00:56:00
162050,2020-10-13 00:56:00
163197,2020-10-13 00:56:00
164699,2020-10-13 00:56:00
82137,2020-10-13 00:56:07
188270,2020-10-13 00:56:09
195021,2020-10-13 00:56:15
87493,2020-10-13 00:56:15
183274,2020-10-13 00:56:15
147848,2020-10-13 00:56:15
168373,2020-10-13 00:56:15
182085,2020-10-13 00:56:16
154077,2020-10-13 00:56:19
93081,2020-10-13 00:56:36
76346,2020-10-13 00:56:37
176128,2020-10-13 00:56:49
160705,2020-10-13 00:56:56
177499,2020-10-13 00:57:00
158227,2020-10-13 00:57:00
183632,2020-10-13 00:57:00
180935,2020-10-13 00:57:00
173205,2020-10-13 00:57:00
94116,2020-10-13 00:57:00
147657,2020-10-13 00:57:00
140599,2020-10-13 00:57:02
94355,2020-10-13 00:57:05
185944,2020-10-13 00:57:25
147707,2020-10-13 00:57:34
82789,2020-10-13 00:57:45
80722,2020-10-13 00:58:00
73739,2020-10-13 00:58:00
175299,2020-10-13 00:58:00
172038,2020-10-13 00:58:00
157782,2020-10-13 00:58:03
169776,2020-10-13 00:58:10
174905,2020-10-13 00:58:17
76261,2020-10-13 00:58:40
159451,2020-10-13 00:58:42
149675,2020-10-13 00:58:57
191649,2020-10-13 00:59:00
95337,2020-10-13 00:59:00
173750,2020-10-13 00:59:00
175733,2020-10-13 00:59:00
174179,2020-10-13 00:59:00
169951,2020-10-13 00:59:00
180803,2020-10-13 00:59:00
164206,2020-10-13 00:59:18
154246,2020-10-13 00:59:25
156655,2020-10-13 00:59:32
160381,2020-10-13 00:59:34
91904,2020-10-13 00:59:36
157824,2020-10-13 00:59:47
161349,2020-10-13 00:59:48
196924,2020-10-13 00:59:51
83213,2020-10-13 00:59:51
147826,2020-10-13 00:59:51
190092,2020-10-13 00:59:53
156330,2020-10-13 01:00:00
95113,2020-10-13 01:00:00
95127,2020-10-13 01:00:00
194159,2020-10-13 01:00:00
185746,2020-10-13 01:00:00
95159,2020-10-13 01:00:00
164236,2020-10-13 01:00:00
77721,2020-10-13 01:00:00
148191,2020-10-13 01:00:00
176994,2020-10-13 01:00:00
172330,2020-10-13 01:00:00
82740,2020-10-13 01:00:00
93952,2020-10-13 01:00:00
95077,2020-10-13 01:00:00
193984,2020-10-13 01:00:00
177541,2020-10-13 01:00:00
76390,2020-10-13 01:00:00
155180,2020-10-13 01:00:00
162364,2020-10-13 01:00:00
177100,2020-10-13 01:00:00
95088,2020-10-13 01:00:00
77281,2020-10-13 01:00:00
167606,2020-10-13 01:00:00
81935,2020-10-13 01:00:00
172073,2020-10-13 01:00:00
184126,2020-10-13 01:00:00
164798,2020-10-13 01:00:00
81844,2020-10-13 01:00:00
151195,2020-10-13 01:00:00
151302,2020-10-13 01:00:00
178284,2020-10-13 01:00:00
154398,2020-10-13 01:00:00
182170,2020-10-13 01:00:00
180469,2020-10-13 01:00:00
162145,2020-10-13 01:00:00
174117,2020-10-13 01:00:00
174112,2020-10-13 01:00:00
77885,2020-10-13 01:00:00
198158,2020-10-13 01:00:00
174102,2020-10-13 01:00:00
158214,2020-10-13 01:00:00
162173,2020-10-13 01:00:00
185723,2020-10-13 01:00:00
162393,2020-10-13 01:00:00
182171,2020-10-13 01:00:00
154277,2020-10-13 01:00:00
154055,2020-10-13 01:00:00
151405,2020-10-13 01:00:01
167797,2020-10-13 01:00:01
197534,2020-10-13 01:00:01
184765,2020-10-13 01:00:01
167787,2020-10-13 01:00:01
151349,2020-10-13 01:00:02
177045,2020-10-13 01:00:02
151200,2020-10-13 01:00:02
151215,2020-10-13 01:00:02
151276,2020-10-13 01:00:02
167752,2020-10-13 01:00:02
175827,2020-10-13 01:00:03
82068,2020-10-13 01:00:03
162492,2020-10-13 01:00:04
147810,2020-10-13 01:00:05
196853,2020-10-13 01:00:06
82474,2020-10-13 01:00:07
162261,2020-10-13 01:00:09
91577,2020-10-13 01:00:10
175720,2020-10-13 01:00:18
162382,2020-10-13 01:00:27
151579,2020-10-13 01:00:32
111632,2020-10-13 01:00:39
179384,2020-10-13 01:00:40
160994,2020-10-13 01:00:44
83194,2020-10-13 01:00:47
198098,2020-10-13 01:00:54
133157,2020-10-13 01:00:55
94668,2020-10-13 01:01:00
160785,2020-10-13 01:01:00
195177,2020-10-13 01:01:02
130939,2020-10-13 01:01:04
129011,2020-10-13 01:01:17
156084,2020-10-13 01:01:19
95251,2020-10-13 01:01:24
114429,2020-10-13 01:01:51
94682,2020-10-13 01:01:58
154171,2020-10-13 01:02:00
169120,2020-10-13 01:02:00
79516,2020-10-13 01:02:00
168291,2020-10-13 01:02:00
141731,2020-10-13 01:02:06
94798,2020-10-13 01:02:07
154528,2020-10-13 01:02:25
149606,2020-10-13 01:02:36
169212,2020-10-13 01:02:46
156119,2020-10-13 01:03:00
180441,2020-10-13 01:03:00
167683,2020-10-13 01:03:00
156334,2020-10-13 01:03:00
182011,2020-10-13 01:03:02
92406,2020-10-13 01:03:07
161335,2020-10-13 01:03:19
75219,2020-10-13 01:03:22
153149,2020-10-13 01:03:22
141414,2020-10-13 01:03:38
190230,2020-10-13 01:04:00
92704,2020-10-13 01:04:00
165766,2020-10-13 01:04:00
189602,2020-10-13 01:04:00
165678,2020-10-13 01:04:00
161631,2020-10-13 01:04:04
175410,2020-10-13 01:04:18
77633,2020-10-13 01:04:28
162870,2020-10-13 01:04:30
165670,2020-10-13 01:04:32
175183,2020-10-13 01:04:41
161253,2020-10-13 01:04:44
149441,2020-10-13 01:04:49
82541,2020-10-13 01:04:57
171935,2020-10-13 01:05:00
197288,2020-10-13 01:05:00
154123,2020-10-13 01:05:00
161188,2020-10-13 01:05:02
147167,2020-10-13 01:05:04
175413,2020-10-13 01:05:22
172360,2020-10-13 01:05:54
193033,2020-10-13 01:06:00
82251,2020-10-13 01:06:00
182645,2020-10-13 01:06:06
91099,2020-10-13 01:06:15
187462,2020-10-13 01:06:16
161891,2020-10-13 01:06:16
114270,2020-10-13 01:06:17
82546,2020-10-13 01:06:19
77202,2020-10-13 01:06:33
161224,2020-10-13 01:06:37
158892,2020-10-13 01:06:39
166248,2020-10-13 01:06:42
131432,2020-10-13 01:06:45
180574,2020-10-13 01:06:59
178735,2020-10-13 01:07:00
146828,2020-10-13 01:07:00
185745,2020-10-13 01:07:00
90896,2020-10-13 01:07:00
77924,2020-10-13 01:07:00
152624,2020-10-13 01:07:00
82240,2020-10-13 01:07:00
77908,2020-10-13 01:07:30
175788,2020-10-13 01:07:30
95273,2020-10-13 01:07:30
177617,2020-10-13 01:07:45
178901,2020-10-13 01:07:51
78589,2020-10-13 01:08:00
175286,2020-10-13 01:08:00
161361,2020-10-13 01:08:00
172104,2020-10-13 01:08:00
172475,2020-10-13 01:08:00
174681,2020-10-13 01:08:00
161685,2020-10-13 01:08:00
161317,2020-10-13 01:08:01
112168,2020-10-13 01:08:26
165163,2020-10-13 01:08:37
180414,2020-10-13 01:08:43
169949,2020-10-13 01:08:46
74161,2020-10-13 01:09:00
71432,2020-10-13 01:09:00
154384,2020-10-13 01:09:00
114930,2020-10-13 01:09:00
94777,2020-10-13 01:09:00
